id,session,pq1,nq2,pq3,nq4,pq5,nq6,nq7,nq8,pq9,pq10,nq11,pq12,nq13,pq14,nq15,pq16,pq17,nq18,pq19,nq20,panas_end_pos,panas_end_neg
12001,1,4,1,4,1,3,1,1,1,4,3,1,3,1,4,2,5,4,1,4,1,38,12
12001,2,5,1,5,1,5,1,1,1,5,5,1,3,1,5,1,4,3,1,3,1,43,10
12001,3,4,1,4,1,3,1,1,1,4,4,1,3,1,5,1,5,3,1,2,1,37,10
12001,4,4,1,4,1,4,1,1,1,4,4,1,1,1,4,1,4,3,1,3,1,35,10
12001,5,5,1,4,1,5,1,1,1,5,5,1,3,1,5,1,5,4,1,3,1,44,10
12001,6,4,1,4,1,4,1,1,1,4,5,1,3,1,5,1,5,4,1,3,1,41,10
12001,7,5,1,5,1,5,1,1,1,4,5,1,3,1,4,1,4,3,1,3,1,41,10
12003,1,5,3,4,1,5,1,2,1,5,5,1,4,1,5,4,5,4,3,4,2,46,19
12003,2,5,2,4,1,4,1,1,1,4,4,1,4,1,4,2,5,4,1,2,1,40,12
12003,3,5,1,5,1,5,1,1,1,5,5,1,4,1,5,1,5,5,1,4,1,48,10
12003,4,5,2,5,1,5,2,1,1,5,5,1,5,1,5,2,5,5,2,5,2,50,15
12003,5,5,2,5,1,5,1,2,1,5,5,1,5,1,5,1,5,5,1,5,2,50,13
12003,6,5,1,5,1,5,1,1,1,5,5,1,4,1,5,2,5,5,1,5,1,49,11
12004,1,5,2,3,2,4,2,2,2,4,4,2,2,1,5,1,1,4,1,4,1,36,18
12004,2,5,5,4,2,3,1,1,2,3,3,2,2,2,4,2,5,5,2,4,1,38,20
12004,3,5,2,5,1,5,1,1,2,5,3,1,1,1,5,1,3,3,2,4,2,39,15
12004,4,5,2,4,3,4,2,3,2,3,2,2,2,2,3,3,2,2,2,3,2,30,23
12004,5,5,2,4,1,5,2,2,2,5,4,1,1,1,4,1,4,4,1,4,1,40,15
12004,6,5,2,5,2,5,1,1,2,5,4,1,1,1,5,1,1,3,1,4,1,38,14
12004,7,5,1,4,1,4,1,1,1,4,4,1,1,1,4,1,3,1,1,4,1,34,10
12005,1,4,1,2,1,2,1,1,1,3,3,1,4,1,3,1,2,4,1,3,1,30,10
12005,2,4,1,3,1,2,1,1,1,3,3,1,3,1,3,2,3,3,2,3,1,30,12
12005,3,4,1,3,1,2,1,1,1,3,3,1,3,1,3,1,2,3,1,3,1,29,10
12005,4,4,1,4,1,3,1,1,1,4,3,1,4,1,3,1,3,3,1,3,1,34,10
12005,5,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,39,10
12005,6,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,39,10
12005,7,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,40,10
12006,1,4,1,3,1,3,2,2,1,4,2,2,4,3,4,2,4,4,1,2,1,34,15
12006,2,5,1,4,1,4,2,2,1,5,3,1,3,1,5,3,4,4,2,2,1,39,15
12006,3,4,1,5,1,4,2,2,1,4,4,1,4,1,4,3,4,4,1,3,1,40,14
12006,4,3,2,3,1,3,2,3,1,3,3,2,3,2,3,3,3,3,2,2,1,29,19
12006,5,4,1,4,1,4,1,2,1,4,4,1,5,1,5,2,4,4,1,3,1,41,13
12006,6,4,1,4,1,3,2,1,1,4,5,1,3,1,5,2,4,4,1,3,1,39,12
12006,7,4,2,5,1,4,1,1,1,3,5,1,4,1,4,1,4,4,1,4,1,41,11
12007,1,5,1,5,1,1,1,1,1,1,4,1,5,1,5,1,5,5,1,1,1,37,10
12007,2,5,1,5,1,3,1,1,1,4,4,1,4,1,5,1,4,4,1,2,1,40,10
12007,3,4,1,4,1,2,1,1,1,4,5,1,4,1,5,1,4,4,1,2,1,38,10
12007,4,4,1,4,1,3,1,1,1,4,3,1,4,1,5,3,4,4,1,3,1,38,12
12007,5,4,1,4,1,3,1,1,1,4,4,1,3,1,4,1,4,3,1,2,1,35,10
12007,6,4,2,4,1,4,1,1,1,4,4,2,4,1,4,1,4,4,1,3,1,39,12
12007,7,4,1,4,1,4,1,1,1,4,4,1,4,1,4,4,3,4,1,3,1,38,13
12008,1,5,1,4,1,4,1,1,1,4,3,1,4,1,4,1,4,4,1,5,1,41,10
12008,2,4,1,5,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,3,1,40,10
12008,3,4,1,5,1,4,1,1,1,4,5,1,5,1,5,1,5,5,1,5,1,47,10
12008,4,4,1,3,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,39,10
12008,5,3,2,2,1,2,1,1,1,2,2,1,2,1,2,1,3,2,1,2,1,22,11
12008,6,4,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,49,10
12008,7,4,1,4,1,4,1,1,1,4,5,1,5,1,4,1,4,5,1,5,1,44,10
12010,1,3,1,3,1,3,1,1,1,2,2,1,4,2,3,1,3,4,1,3,1,30,10
12010,2,4,2,2,1,3,1,1,1,3,3,1,2,1,3,4,2,3,4,2,1,27,17
12010,3,4,1,3,1,3,1,1,1,3,4,1,3,1,3,1,3,3,1,3,1,32,10
12010,4,4,1,2,1,3,1,1,1,2,3,1,3,1,3,1,3,3,1,3,1,29,10
12010,5,3,1,1,1,2,1,1,1,2,2,1,3,1,2,2,2,2,3,2,1,21,13
12010,6,3,1,2,1,3,1,1,1,3,4,1,3,1,3,1,3,3,1,3,1,30,10
12010,7,3,1,2,1,3,1,1,1,2,4,1,3,1,2,1,2,2,1,3,1,26,10
12011,1,5,1,3,1,4,1,1,1,4,4,1,4,1,5,1,5,4,1,4,1,42,10
12011,2,,,,,,,,,,,,,,,,,,,,,,
12011,3,5,1,5,1,5,1,1,1,5,5,1,4,1,5,1,5,5,1,5,1,49,10
12011,4,5,1,5,1,4,1,1,1,4,5,1,4,1,5,1,5,4,1,4,1,45,10
12011,5,5,1,5,1,5,1,1,1,5,5,1,1,1,5,1,5,5,1,5,1,46,10
12011,6,4,1,4,1,5,1,1,1,5,5,1,4,1,5,1,5,4,1,4,1,45,10
12011,7,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,1,5,1,5,1,5,1,1,1,5,4,1,5,1,5,1,5,5,1,5,1,49,10
12012,2,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,3,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,4,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,5,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,6,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,7,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12013,1,4,1,3,1,2,2,1,1,3,3,1,3,2,3,1,4,3,2,2,1,30,14
12013,2,4,1,3,1,3,1,1,1,4,3,1,3,1,4,2,4,4,2,4,1,36,12
12013,3,4,2,3,2,2,2,1,1,3,4,2,4,2,3,3,4,4,4,4,1,35,20
12013,4,4,3,3,2,3,1,1,1,4,4,1,2,1,4,3,4,3,2,3,1,34,16
12013,5,4,3,2,2,2,1,1,1,3,2,1,2,3,1,2,3,4,3,3,2,26,17
12013,6,4,3,3,1,2,1,1,1,3,2,1,4,1,2,1,3,4,1,4,1,31,12
12013,7,4,2,4,1,3,1,1,1,4,3,1,4,1,3,2,4,4,2,4,1,37,13
12014,1,4,1,4,1,4,2,2,1,4,4,1,4,1,4,1,5,3,2,3,1,39,13
12014,2,4,2,4,2,5,1,1,1,3,4,1,3,1,5,1,3,4,2,3,1,38,13
12014,3,4,1,5,1,4,1,1,1,4,4,1,3,1,4,1,3,4,1,2,1,37,10
12014,4,4,1,5,1,5,1,1,1,5,5,1,4,1,4,1,3,3,2,3,1,41,11
12014,5,4,2,3,2,4,1,1,1,4,4,2,4,1,5,1,4,3,1,2,1,37,13
12014,6,4,2,3,1,4,2,1,1,3,4,1,4,1,4,1,3,3,3,3,1,35,14
12014,7,4,1,2,1,3,1,1,1,3,4,2,3,1,3,1,4,3,1,2,1,31,11
